Category,State, Description,Source
Technology/Broadband,Wisconsin,"$5 million for the expansion of high-speed, broadband internet. Funding will be awarded by the Public Service Commission of Wisconsin (PSC) to applicants from the 2020 broadband expansion grants that did not receive funding and are able to connect customers by December 30, 2020, and satisfy the requirements of the federal CARES Act. The PSC houses the state Broadband Office, which administers the state's Broadband Expansion Grant Program that provides grant funding to organizations, internet service providers, and local governments to expand in areas of the state that are underserved and unserved.",Governor
Unemployment/Workforce Development,Alabama,$385 million to the unemployment trust fund transfer program.,State
Unemployment/Workforce Development,Arkansas,$165 million for a fund transfer to the DWS UI Trust Fund.,State
Unemployment/Workforce Development,Arkansas,$18 million to the Department of Commerce for State Match for the Lost Wage Assistance Program.,State
Unemployment/Workforce Development,Arkansas,$2.2 million to the Department of Commerce to Continue Unemployment Call Center contract with Maximus.,State
Unemployment/Workforce Development,Arkansas,$5 million to the Department of Commerce for UI admin.,State
Unemployment/Workforce Development,California,$1.5 million for workforce compensation.,State
Unemployment/Workforce Development,California,$5.9 million toward unemployment benefits.,State
Unemployment/Workforce Development,Connecticut,"$17 million to the Department of Labor to the five workforce development boards (WDBs) to support COVID related summer youth employment initiatives. These programs provide lifelong career skills, key learning opportunities, and the path to a brighter future for many of our youth. Specifically, the WDBs will seek to provide funding to support health related youth employment through partnerships with FQHCs, AHECs and other community providers.",State
Unemployment/Workforce Development,Connecticut,"Funding for the Back to Work CT program, which will provide a one-time $1,000 bonus payment to 10,000 long-term unemployed people who live in Connecticut and obtain new jobs. The program is designed to encouraged long-term unemployed individuals to find work.", 
Unemployment/Workforce Development,Delaware,$209 million for the unemployment insurance trust fund.,State
Unemployment/Workforce Development,Delaware,$8.9 million for UI technology and professional services.,State
Unemployment/Workforce Development,Georgia,$2.2 billion for unemployment insurance costs.,State
Unemployment/Workforce Development,Hawaii,$1.7 million to the Department of Human Resources for the unemployment benefits-employers share.,State
Unemployment/Workforce Development,Hawaii,"$10 million to the Department of Business, Economic Development & Tourism for SCRF retraining and workforce development.",State
Unemployment/Workforce Development,Hawaii,$17 million to the Department of Education for the unemployment benefits-employers share.,State
Unemployment/Workforce Development,Idaho,$1 million the Workforce Development Council.,Governor
Unemployment/Workforce Development,Idaho,$15 million to the Department of Labor for the Lost Wages Assistance program.,Governor
Unemployment/Workforce Development,Idaho,$200 million to the Department of the Labor to ensure solvency of the unemployment insurance trust fund.,Governor
Unemployment/Workforce Development,Indiana,$25 million for the Workforce Ready Grant Program and Employer Training Grant Program.,State
Unemployment/Workforce Development,Indiana,$400 million in remaining federal pandemic aid to cover a federal unemployment loan to keep the unemployment trust fund solvent.,Media
Unemployment/Workforce Development,Indiana,"$50 million to efforts, to scale up short-term education and training opportunities through the Workforce Ready Grant and the Employer Training Grant, as well as expanded career coaching and navigation for those who need help figuring out their next steps.",Governor
Unemployment/Workforce Development,Iowa,"$10 million for two Registered Apprenticeship grant programs. The programs will provide training in an ""earn and learn"" model that helps employers create the workforce they need. They are an employer-driven model, combining on-the-job learning with related classroom instruction, providing the Apprentice with a nationally recognized credential and employers with a skilled worker at the end of the program. The first grant opportunity is available to high schools, nonprofits, and small businesses with less than 50 employees. These grants total $5 million, with a maximum award of $50,000 per applicant. The second grant opportunity is available to post-secondary institutions or healthcare employers. These grants also total $5 million, with a maximum award of $250,000 per applicant. Both grants can be used to purchase equipment, tools, simulators, instructional materials, updated curriculum, or other necessary items to expand or create Registered Apprenticeship programs that provide for online learning as well as hands-on learning when necessary and safe. Priority is given to programs targeting individuals whose employment has been adversely affected by the pandemic.",Governor
